group,variable,value
Mucositis,11,-3.329788248
Mucositis,11,-5.509609741
Mucositis,11,-4.839171497
Periimplantitis,11,-15.90306683
Periimplantitis,11,-10.27874604
Periimplantitis,11,-2.751971065
Periimplantitis,11,7.901799862
Periimplantitis,11,-15.58399001
Periimplantitis,11,-5.036693693
Periimplantitis,11,-6.970956502
Periimplantitis,11,-5.537629439
Periimplantitis,11,-6.32085197
Periimplantitis,11,1.00660708
Periimplantitis,11,2.859277314
Periimplantitis,11,-17.73502763
Periimplantitis,11,-21.75850351
Periimplantitis,11,-1.734997768
Healthy,11,-0.262231083
Healthy,11,5.712928663
Healthy,11,-5.863910406
Healthy,11,-7.602784896
Healthy,11,-7.923915707
Healthy,11,-20.8786154
Healthy,11,-18.04438076
Healthy,11,-3.197874104
Healthy,11,-12.27453949
Healthy,11,-8.516613932
Gisngivitis,11,-9.283650724
Gisngivitis,11,-5.652627949
Gisngivitis,11,-11.61496795
Gisngivitis,11,-3.165950172
Gisngivitis,11,-5.029675176
Gisngivitis,11,-7.653894416
Gisngivitis,11,-27.38015194
Gisngivitis,11,-6.438733552
Gisngivitis,11,-9.21440719
Gisngivitis,11,14.84197181
Mucositis,11,-16.58429654
Mucositis,11,-4.13557614
Mucositis,11,-18.65812639
Mucositis,11,-3.200739925
Mucositis,11,-8.820839433
Mucositis,11,-9.092039825
Mucositis,11,1.624431052
Mucositis,11,-6.685302199
Mucositis,11,0.557336579
Mucositis,11,-4.7173432
Mucositis,11,-3.247037244
Mucositis,11,-6.361284244
Mucositis,11,-4.392781729
Mucositis,11,-12.46442999
Mucositis,11,-5.496082427
Periimplantitis,11,-15.1004089
Periimplantitis,11,-10.27383792
Periimplantitis,11,-2.501002577
Periimplantitis,11,3.269872314
Periimplantitis,11,-15.43982381
Periimplantitis,11,-5.499970635
Periimplantitis,11,-6.218898355
Periimplantitis,11,-9.595248225
Periimplantitis,11,-6.185650679
Periimplantitis,11,-1.386842514
Periimplantitis,11,4.246596911
Periimplantitis,11,-18.75054534
Periimplantitis,11,-20.99950059
Periimplantitis,11,-5.84851348
Healthy,12,-3.39524989
Healthy,12,1.158623823
Healthy,12,-10.27365197
Healthy,12,-8.293738079
Healthy,12,-9.009763985
Healthy,12,-25.29215268
Healthy,12,-17.66787238
Healthy,12,-2.794101294
Healthy,12,-11.23349101
Healthy,12,-7.795018726
Gisngivitis,12,-9.384882667
Gisngivitis,12,-5.705836998
Gisngivitis,12,-12.41523263
Gisngivitis,12,-3.221117558
Gisngivitis,12,-4.974204897
Gisngivitis,12,-10.5400073
Gisngivitis,12,-26.39992735
Gisngivitis,12,-5.082812973
Gisngivitis,12,-8.279046472
Gisngivitis,12,15.93154015
Mucositis,12,-16.16588272
Mucositis,12,1.958903929
Mucositis,12,-17.39566439
Mucositis,12,-2.703852183
Mucositis,12,-8.85215034
Mucositis,12,-8.30872805
Mucositis,12,0.722728799
Mucositis,12,-7.979310814
Mucositis,12,-0.597208916
Mucositis,12,-3.873749136
Mucositis,12,-3.073227885
Mucositis,12,-6.303189543
Mucositis,12,-4.582717152
