x,group,y
11.2,Periimplantitis,-5.537629439
11.2,Periimplantitis,-6.32085197
11.2,Periimplantitis,1.00660708
11.2,Periimplantitis,2.859277314
11.2,Periimplantitis,-17.73502763
11.2,Periimplantitis,-21.75850351
11.2,Periimplantitis,-1.734997768
11.4,Healthy,-0.262231083
11.4,Healthy,5.712928663
11.4,Healthy,-5.863910406
11.4,Healthy,-7.602784896
11.4,Healthy,-7.923915707
11.4,Healthy,-20.8786154
11.4,Healthy,-18.04438076
11.4,Healthy,-3.197874104
11.4,Healthy,-12.27453949
11.4,Healthy,-8.516613932
11.4,Gingivitis,-9.283650724
11.4,Gingivitis,-5.652627949
11.4,Gingivitis,-11.61496795
11.4,Gingivitis,-3.165950172
11.4,Gingivitis,-5.029675176
11.4,Gingivitis,-7.653894416
11.4,Gingivitis,-27.38015194
11.4,Gingivitis,-6.438733552
11.4,Gingivitis,-9.21440719
11.4,Gingivitis,14.84197181
11.4,Mucositis,-16.58429654
11.4,Mucositis,-4.13557614
11.4,Mucositis,-18.65812639
11.4,Mucositis,-3.200739925
11.4,Mucositis,-8.820839433
11.4,Mucositis,-9.092039825
11.4,Mucositis,1.624431052
11.4,Mucositis,-6.685302199
11.4,Mucositis,0.557336579
11.4,Mucositis,-4.7173432
11.4,Mucositis,-3.247037244
11.4,Mucositis,-6.361284244
11.4,Mucositis,-4.392781729
11.4,Mucositis,-12.46442999
11.4,Mucositis,-5.496082427
11.4,Periimplantitis,-15.1004089
11.4,Periimplantitis,-10.27383792
11.4,Periimplantitis,-2.501002577
11.4,Periimplantitis,3.269872314
11.4,Periimplantitis,-15.43982381
11.4,Periimplantitis,-5.499970635
11.4,Periimplantitis,-6.218898355
11.4,Periimplantitis,-9.595248225
11.4,Periimplantitis,-6.185650679
11.4,Periimplantitis,-1.386842514
11.4,Periimplantitis,4.246596911
11.4,Periimplantitis,-18.75054534
11.4,Periimplantitis,-20.99950059
11.4,Periimplantitis,-5.84851348
11.5,Healthy,-3.39524989
11.5,Healthy,1.158623823
11.5,Healthy,-10.27365197
11.5,Healthy,-8.293738079
11.5,Healthy,-9.009763985
11.5,Healthy,-25.29215268
11.5,Healthy,-17.66787238
11.5,Healthy,-2.794101294
11.5,Healthy,-11.23349101
11.5,Healthy,-7.795018726
11.5,Gingivitis,-9.384882667
11.5,Gingivitis,-5.705836998
11.5,Gingivitis,-12.41523263
11.5,Gingivitis,-3.221117558
11.5,Gingivitis,-4.974204897
11.5,Gingivitis,-10.5400073
11.5,Gingivitis,-26.39992735
11.5,Gingivitis,-5.082812973
11.5,Gingivitis,-8.279046472
11.5,Gingivitis,15.93154015
11.5,Mucositis,-16.16588272
11.5,Mucositis,1.958903929
11.5,Mucositis,-17.39566439
11.5,Mucositis,-2.703852183
11.5,Mucositis,-8.85215034
11.5,Mucositis,-8.30872805
11.5,Mucositis,0.722728799
11.5,Mucositis,-7.979310814
11.5,Mucositis,-0.597208916
11.5,Mucositis,-3.873749136
11.5,Mucositis,-3.073227885
11.5,Mucositis,-6.303189543
11.5,Mucositis,-4.582717152
11.5,Mucositis,-16.22444287
11.5,Mucositis,-6.169399159
11.5,Periimplantitis,-14.25250867
11.5,Periimplantitis,-10.77690941
11.5,Periimplantitis,-1.775576934
11.5,Periimplantitis,0.149802396
11.5,Periimplantitis,-15.02840436
11.5,Periimplantitis,-5.28712624
11.5,Periimplantitis,-4.965422808
11.5,Periimplantitis,-11.18349017
11.5,Periimplantitis,-6.33808773
11.5,Periimplantitis,-2.11857184
11.5,Periimplantitis,6.055605747
11.5,Periimplantitis,-18.62870929
11.5,Periimplantitis,-20.20017346
11.5,Periimplantitis,-8.129241816
11.6,Healthy,-5.428161339
11.6,Healthy,-1.13203873
11.6,Healthy,-12.30483353
11.6,Healthy,-8.295468809
11.6,Healthy,-9.341633521
11.6,Healthy,-27.84220655
11.6,Healthy,-17.09769159
11.6,Healthy,-2.371479167
11.6,Healthy,-14.1003713
11.6,Healthy,-7.31684712
11.6,Gingivitis,-8.951206184
11.6,Gingivitis,-5.493614823
11.6,Gingivitis,-12.81450766
11.6,Gingivitis,-2.766363559
11.6,Gingivitis,-4.696753051
11.6,Gingivitis,-11.54882838
11.6,Gingivitis,-30.78243019
11.6,Gingivitis,-4.092993363
11.6,Gingivitis,-6.855194513
11.6,Gingivitis,17.93739339
11.6,Mucositis,-15.8516859
11.6,Mucositis,2.139315694
11.6,Mucositis,-16.26102281
11.6,Mucositis,-2.251035342
11.6,Mucositis,-8.421041463
11.6,Mucositis,-7.721550996
11.6,Mucositis,0.779091171
11.6,Mucositis,-8.163286843
11.6,Mucositis,-1.179621949
11.6,Mucositis,-3.37910802
11.6,Mucositis,-2.878212172
11.6,Mucositis,-5.678720377
11.6,Mucositis,-4.216487991
11.6,Mucositis,-17.87840161
11.6,Mucositis,-6.921509395
11.6,Periimplantitis,-13.20838823
11.6,Periimplantitis,-11.19788995
11.6,Periimplantitis,-0.785114807
11.6,Periimplantitis,-1.622771397
11.6,Periimplantitis,-14.65372642
11.6,Periimplantitis,-4.924751837
11.6,Periimplantitis,-4.170585677
11.6,Periimplantitis,-11.3916972
11.6,Periimplantitis,-6.285797337
